timestamp,station_id,region,temperature,humidity,pressure,t_prev,h_prev,p_prev,is_anom
2025-07-07T13:56:00.000,3,Sul,16.87,100.0,1015.58,16.69,61.7,1014.89,true
2025-07-07T15:36:00.000,3,Sul,16.61,61.2,1015.07,16.87,100.0,1015.58,true
2025-07-07T20:46:00.000,13,Norte,29.04,100.0,1014.71,29.04,63.1,1014.67,true
2025-07-07T12:46:00.000,33,Sul,16.69,58.7,1011.22,16.46,57.8,1017.11,true
2025-07-07T12:49:00.000,36,Norte,29.39,56.5,1019.81,29.45,55.9,1013.31,true
2025-07-07T14:29:00.000,36,Norte,29.29,56.3,1014.68,29.39,56.5,1019.81,true
2025-07-07T11:12:00.000,39,Leste,29.1,68.2,1012.77,24.05,67.3,1011.88,true
2025-07-07T12:52:00.000,39,Leste,24.06,67.7,1011.87,29.1,68.2,1012.77,true
2025-07-07T19:43:00.000,50,Leste,23.76,66.6,1001.81,23.73,66.1,1007.52,true
2025-07-07T21:23:00.000,50,Leste,23.8,66.8,1007.93,23.76,66.6,1001.81,true
2025-07-07T13:20:00.000,67,Leste,24.46,57.0,1019.15,24.48,56.9,1014.07,true
2025-07-07T15:00:00.000,67,Leste,24.45,56.9,1013.43,24.46,57.0,1019.15,true
2025-07-07T17:03:00.000,90,Sul,18.7,65.4,1006.27,18.44,65.0,1013.1,true
2025-07-07T18:43:00.000,90,Sul,18.52,64.9,1012.86,18.7,65.4,1006.27,true
